Epoch 10: train_loss: 0.767859, val_loss: 0.916681, val_acc: 0.436613
Epoch 20: train_loss: 0.618871, val_loss: 0.692871, val_acc: 0.609486
Epoch 30: train_loss: 0.573196, val_loss: 0.630598, val_acc: 0.653812
Epoch 40: train_loss: 0.530194, val_loss: 0.552322, val_acc: 0.703901
Epoch 50: train_loss: 0.505643, val_loss: 0.544011, val_acc: 0.710993
Epoch 60: train_loss: 0.482406, val_loss: 0.729954, val_acc: 0.583777
Epoch 70: train_loss: 0.472082, val_loss: 0.555036, val_acc: 0.701241
Epoch 80: train_loss: 0.458344, val_loss: 0.973263, val_acc: 0.442819
Epoch 90: train_loss: 0.444479, val_loss: 0.513474, val_acc: 0.732271
Epoch 100: train_loss: 0.432505, val_loss: 0.987085, val_acc: 0.412677
Epoch 110: train_loss: 0.422541, val_loss: 0.566857, val_acc: 0.691046
Epoch 120: train_loss: 0.411755, val_loss: 0.548082, val_acc: 0.707447
Epoch 130: train_loss: 0.406496, val_loss: 0.504279, val_acc: 0.732270
Epoch 140: train_loss: 0.399936, val_loss: 0.511880, val_acc: 0.728280
Epoch 150: train_loss: 0.391450, val_loss: 0.534391, val_acc: 0.715869
Epoch 160: train_loss: 0.387450, val_loss: 0.528177, val_acc: 0.722518
Epoch 170: train_loss: 0.380051, val_loss: 0.508466, val_acc: 0.731826
Epoch 180: train_loss: 0.375106, val_loss: 0.563615, val_acc: 0.701684
Epoch 190: train_loss: 0.370152, val_loss: 0.547053, val_acc: 0.709663
Epoch 200: train_loss: 0.364414, val_loss: 0.509471, val_acc: 0.730496
Epoch 210: train_loss: 0.357336, val_loss: 0.555864, val_acc: 0.702571
Epoch 220: train_loss: 0.359418, val_loss: 0.522959, val_acc: 0.723848
Epoch 230: train_loss: 0.354775, val_loss: 0.540818, val_acc: 0.709220
Epoch 240: train_loss: 0.351655, val_loss: 0.512217, val_acc: 0.727394
Epoch 250: train_loss: 0.351010, val_loss: 0.508974, val_acc: 0.733599
Epoch 260: train_loss: 0.346965, val_loss: 0.513141, val_acc: 0.730496
Epoch 270: train_loss: 0.347709, val_loss: 0.508327, val_acc: 0.735372
Epoch 280: train_loss: 0.346077, val_loss: 0.509834, val_acc: 0.733156
Epoch 290: train_loss: 0.346588, val_loss: 0.515765, val_acc: 0.729167
Epoch 300: train_loss: 0.344911, val_loss: 0.509100, val_acc: 0.734486
