Epoch 10: train_loss: 0.648060, val_loss: 0.737895, val_acc: 0.374107
Epoch 20: train_loss: 0.567944, val_loss: 0.723273, val_acc: 0.370536
Epoch 30: train_loss: 0.527960, val_loss: 0.749930, val_acc: 0.315179
Epoch 40: train_loss: 0.518400, val_loss: 0.649738, val_acc: 0.429464
Epoch 50: train_loss: 0.505942, val_loss: 0.547977, val_acc: 0.535714
Epoch 60: train_loss: 0.493297, val_loss: 0.906056, val_acc: 0.184821
Epoch 70: train_loss: 0.478753, val_loss: 0.623065, val_acc: 0.435714
Epoch 80: train_loss: 0.470717, val_loss: 0.599014, val_acc: 0.466964
Epoch 90: train_loss: 0.463665, val_loss: 0.630374, val_acc: 0.440179
Epoch 100: train_loss: 0.458133, val_loss: 0.492236, val_acc: 0.562501
Epoch 110: train_loss: 0.461742, val_loss: 0.487503, val_acc: 0.567857
Epoch 120: train_loss: 0.453839, val_loss: 0.509045, val_acc: 0.550893
Epoch 130: train_loss: 0.451666, val_loss: 0.640069, val_acc: 0.418750
Epoch 140: train_loss: 0.448700, val_loss: 0.551858, val_acc: 0.508929
Epoch 150: train_loss: 0.450443, val_loss: 0.486280, val_acc: 0.565179
Epoch 160: train_loss: 0.445059, val_loss: 0.473960, val_acc: 0.575893
Epoch 170: train_loss: 0.442957, val_loss: 0.500067, val_acc: 0.559821
Epoch 180: train_loss: 0.444239, val_loss: 0.742548, val_acc: 0.330357
Epoch 190: train_loss: 0.441975, val_loss: 0.552808, val_acc: 0.505357
Epoch 200: train_loss: 0.439626, val_loss: 0.578326, val_acc: 0.482143
Epoch 210: train_loss: 0.439761, val_loss: 0.487084, val_acc: 0.565179
Epoch 220: train_loss: 0.437845, val_loss: 0.531578, val_acc: 0.527679
Epoch 230: train_loss: 0.436557, val_loss: 0.600257, val_acc: 0.465179
Epoch 240: train_loss: 0.434554, val_loss: 0.536028, val_acc: 0.522321
Epoch 250: train_loss: 0.433818, val_loss: 0.494020, val_acc: 0.558929
Epoch 260: train_loss: 0.435639, val_loss: 0.471965, val_acc: 0.577679
Epoch 270: train_loss: 0.434664, val_loss: 0.473660, val_acc: 0.576786
Epoch 280: train_loss: 0.431994, val_loss: 0.475262, val_acc: 0.572321
Epoch 290: train_loss: 0.435444, val_loss: 0.472641, val_acc: 0.577679
Epoch 300: train_loss: 0.434678, val_loss: 0.471508, val_acc: 0.576786
