Epoch 10: train_loss: 0.579770, val_loss: 0.798065, val_acc: 0.527995
Epoch 20: train_loss: 0.430548, val_loss: 0.606184, val_acc: 0.667318
Epoch 30: train_loss: 0.383199, val_loss: 0.786880, val_acc: 0.540365
Epoch 40: train_loss: 0.359760, val_loss: 0.760828, val_acc: 0.574870
Epoch 50: train_loss: 0.352164, val_loss: 0.977962, val_acc: 0.448568
Epoch 60: train_loss: 0.333934, val_loss: 0.539480, val_acc: 0.711589
Epoch 70: train_loss: 0.329087, val_loss: 0.823483, val_acc: 0.529297
Epoch 80: train_loss: 0.316896, val_loss: 0.362134, val_acc: 0.837240
Epoch 90: train_loss: 0.312494, val_loss: 1.406025, val_acc: 0.192708
Epoch 100: train_loss: 0.301162, val_loss: 0.650332, val_acc: 0.636719
Epoch 110: train_loss: 0.300352, val_loss: 0.353242, val_acc: 0.843099
Epoch 120: train_loss: 0.294037, val_loss: 0.395442, val_acc: 0.807943
Epoch 130: train_loss: 0.287192, val_loss: 0.406276, val_acc: 0.804036
Epoch 140: train_loss: 0.283643, val_loss: 0.517132, val_acc: 0.725911
Epoch 150: train_loss: 0.277988, val_loss: 0.338240, val_acc: 0.849609
Epoch 160: train_loss: 0.274807, val_loss: 0.370404, val_acc: 0.836589
Epoch 170: train_loss: 0.270454, val_loss: 0.646738, val_acc: 0.639323
Epoch 180: train_loss: 0.267719, val_loss: 0.366123, val_acc: 0.830729
Epoch 190: train_loss: 0.255365, val_loss: 0.348669, val_acc: 0.843099
Epoch 200: train_loss: 0.251963, val_loss: 0.371766, val_acc: 0.826823
Epoch 210: train_loss: 0.249003, val_loss: 0.383578, val_acc: 0.819661
Epoch 220: train_loss: 0.242091, val_loss: 0.365221, val_acc: 0.833984
Epoch 230: train_loss: 0.240366, val_loss: 0.349370, val_acc: 0.841146
Epoch 240: train_loss: 0.234617, val_loss: 0.342153, val_acc: 0.845703
Epoch 250: train_loss: 0.230557, val_loss: 0.363174, val_acc: 0.828776
Epoch 260: train_loss: 0.232568, val_loss: 0.364336, val_acc: 0.822917
Epoch 270: train_loss: 0.229090, val_loss: 0.351879, val_acc: 0.839844
Epoch 280: train_loss: 0.227608, val_loss: 0.351788, val_acc: 0.841797
Epoch 290: train_loss: 0.226802, val_loss: 0.355332, val_acc: 0.836589
Epoch 300: train_loss: 0.225092, val_loss: 0.356178, val_acc: 0.837240
