Epoch 1: train_loss: 0.9432554966280896, train_acc: 0.2818579766536965, train_f1: 0.1800318088084134
Epoch 2: train_loss: 0.8593096804989915, train_acc: 0.3556663424124514, train_f1: 0.23575342843338729
Epoch 3: train_loss: 0.8256148348058708, train_acc: 0.3741488326848249, train_f1: 0.24980640294106138
Epoch 4: train_loss: 0.7829302097109041, train_acc: 0.409897859922179, train_f1: 0.26594782994775584
Epoch 5: train_loss: 0.753559574774731, train_acc: 0.43129863813229574, train_f1: 0.2844654188733509
Epoch 6: train_loss: 0.7265886294470687, train_acc: 0.45221303501945526, train_f1: 0.29021850847468705
Epoch 7: train_loss: 0.7189682974889584, train_acc: 0.46133268482490275, train_f1: 0.2934174791552507
Epoch 8: train_loss: 0.6910327788920718, train_acc: 0.47653210116731515, train_f1: 0.3154845235092139
Epoch 9: train_loss: 0.6813913888736458, train_acc: 0.48139591439688717, train_f1: 0.3144129780832125
Epoch 10: train_loss: 0.6604485960554056, train_acc: 0.4984192607003891, train_f1: 0.33605715700126176
Epoch 11: train_loss: 0.6488927663068363, train_acc: 0.5082684824902723, train_f1: 0.3436197025192527
Epoch 12: train_loss: 0.6300143272496384, train_acc: 0.5178745136186771, train_f1: 0.3400293782896259
Epoch 13: train_loss: 0.6406247307354375, train_acc: 0.5144698443579766, train_f1: 0.33330436814843223
Epoch 14: train_loss: 0.6187714211903658, train_acc: 0.5254134241245136, train_f1: 0.3633179062838003
Epoch 15: train_loss: 0.6024108233386904, train_acc: 0.5409776264591439, train_f1: 0.3918524978555233
Epoch 16: train_loss: 0.6004446180182208, train_acc: 0.5448686770428015, train_f1: 0.4106610195152373
Epoch 17: train_loss: 0.5749934166090034, train_acc: 0.5614056420233463, train_f1: 0.46327202432753883
Epoch 18: train_loss: 0.5730041337384324, train_acc: 0.5646887159533074, train_f1: 0.4559997865497844
Epoch 19: train_loss: 0.5543804465564772, train_acc: 0.5761186770428015, train_f1: 0.4829111172099903
Epoch 20: train_loss: 0.5544315134736815, train_acc: 0.5727140077821011, train_f1: 0.4991247809114319
Epoch 21: train_loss: 0.5267924222268947, train_acc: 0.5928988326848249, train_f1: 0.5316312362279655
Epoch 22: train_loss: 0.5266889613194224, train_acc: 0.5970330739299611, train_f1: 0.5289262741280909
Epoch 23: train_loss: 0.5214089446262626, train_acc: 0.5994649805447471, train_f1: 0.5439650168667964
Epoch 24: train_loss: 0.5108133546341254, train_acc: 0.6040856031128404, train_f1: 0.5499521148329533
Epoch 25: train_loss: 0.506502733156375, train_acc: 0.6090710116731517, train_f1: 0.5523601810579968
Epoch 26: train_loss: 0.5070018589728538, train_acc: 0.613205252918288, train_f1: 0.5714205272086708
Epoch 27: train_loss: 0.49052824961304203, train_acc: 0.6197714007782101, train_f1: 0.5756871847131554
Epoch 28: train_loss: 0.4928388260449881, train_acc: 0.6146643968871596, train_f1: 0.5755160837641891
Epoch 29: train_loss: 0.4926252064769834, train_acc: 0.6211089494163424, train_f1: 0.5747159591418846
Epoch 30: train_loss: 0.4801079481260322, train_acc: 0.6291342412451362, train_f1: 0.5944031489774428
Epoch 31: train_loss: 0.4727644774236568, train_acc: 0.6312013618677043, train_f1: 0.600822583822627
Epoch 32: train_loss: 0.4716579418933809, train_acc: 0.6339980544747081, train_f1: 0.599181127470942
Epoch 33: train_loss: 0.47330977051638445, train_acc: 0.6293774319066148, train_f1: 0.5997327368215356
Epoch 34: train_loss: 0.4502661875249811, train_acc: 0.6496838521400778, train_f1: 0.6318853265185548
Epoch 35: train_loss: 0.44699158336865763, train_acc: 0.6546692607003891, train_f1: 0.6350986100134572
Epoch 36: train_loss: 0.4510346649917647, train_acc: 0.6517509727626459, train_f1: 0.6401189346788498
Epoch 37: train_loss: 0.44031138584771506, train_acc: 0.6596546692607004, train_f1: 0.6408602855066435
Epoch 38: train_loss: 0.442506285145125, train_acc: 0.6549124513618677, train_f1: 0.6499475312071362
Epoch 39: train_loss: 0.4406730696153084, train_acc: 0.6541828793774319, train_f1: 0.6462413052719468
Epoch 40: train_loss: 0.45733549698085635, train_acc: 0.6440904669260701, train_f1: 0.6368696369823622
Epoch 41: train_loss: 0.4330208281830591, train_acc: 0.6629377431906615, train_f1: 0.6500253959323067
Epoch 42: train_loss: 0.42239993787461216, train_acc: 0.6691391050583657, train_f1: 0.6587618378899481
Epoch 43: train_loss: 0.4363938371726975, train_acc: 0.6528453307392996, train_f1: 0.6531788104418855
Epoch 44: train_loss: 0.4373680469706828, train_acc: 0.6617217898832685, train_f1: 0.6506050578005326
Epoch 45: train_loss: 0.42062557653926225, train_acc: 0.6712062256809338, train_f1: 0.6732728487170029
Epoch 46: train_loss: 0.4197632205393528, train_acc: 0.6721789883268483, train_f1: 0.675826930181557
Epoch 47: train_loss: 0.41480159701540315, train_acc: 0.6763132295719845, train_f1: 0.6834464255328312
Epoch 48: train_loss: 0.4122028148475788, train_acc: 0.6798394941634242, train_f1: 0.6839443093656964
Epoch 49: train_loss: 0.40643612234508947, train_acc: 0.6867704280155642, train_f1: 0.6956985634508506
Epoch 50: train_loss: 0.4030247575925946, train_acc: 0.6823929961089494, train_f1: 0.687156833233114
Epoch 51: train_loss: 0.40251580211207094, train_acc: 0.6851896887159533, train_f1: 0.6980213059919015
Epoch 52: train_loss: 0.4012464243730218, train_acc: 0.6851896887159533, train_f1: 0.6917447647065048
Epoch 53: train_loss: 0.4027324329322414, train_acc: 0.6866488326848249, train_f1: 0.6921813577569734
Epoch 54: train_loss: 0.393431068858284, train_acc: 0.6884727626459144, train_f1: 0.7019938956972651
Epoch 55: train_loss: 0.391157013143083, train_acc: 0.6964980544747081, train_f1: 0.7018690615435027
Epoch 56: train_loss: 0.3801806290789801, train_acc: 0.7036721789883269, train_f1: 0.7135050540053038
Epoch 57: train_loss: 0.38749445621141665, train_acc: 0.6969844357976653, train_f1: 0.7112626130672745
Epoch 58: train_loss: 0.38402459454443666, train_acc: 0.6972276264591439, train_f1: 0.7051446041561832
Epoch 59: train_loss: 0.3697587826256622, train_acc: 0.7103599221789884, train_f1: 0.730515342280135
Epoch 60: train_loss: 0.3756532520055771, train_acc: 0.7076848249027238, train_f1: 0.7272248020553783
Epoch 61: train_loss: 0.38406636557226514, train_acc: 0.6989299610894941, train_f1: 0.7115883193553495
Epoch 62: train_loss: 0.3715296483341358, train_acc: 0.7078064202334631, train_f1: 0.7258535798832791
Epoch 63: train_loss: 0.37352632229662125, train_acc: 0.711454280155642, train_f1: 0.7312005175863168
Epoch 64: train_loss: 0.37771730003189946, train_acc: 0.7040369649805448, train_f1: 0.7191479496409348
Epoch 65: train_loss: 0.36824424118383386, train_acc: 0.7115758754863813, train_f1: 0.727986022270832
Epoch 66: train_loss: 0.3694245394333791, train_acc: 0.7143725680933852, train_f1: 0.7335188712871199
Epoch 67: train_loss: 0.3712401027113547, train_acc: 0.7068336575875487, train_f1: 0.7327236912320259
Epoch 68: train_loss: 0.35799278516017974, train_acc: 0.7192363813229572, train_f1: 0.7406612785934245
Epoch 69: train_loss: 0.3639668988114665, train_acc: 0.7153453307392996, train_f1: 0.7345704250579498
Epoch 70: train_loss: 0.3643619617599458, train_acc: 0.7127918287937743, train_f1: 0.7328490286578285
Epoch 71: train_loss: 0.35749817033686065, train_acc: 0.7192363813229572, train_f1: 0.744257249935397
Epoch 72: train_loss: 0.3458227728591355, train_acc: 0.7251945525291829, train_f1: 0.7506183880228893
Epoch 73: train_loss: 0.36882256580234035, train_acc: 0.710603112840467, train_f1: 0.7324152706437291
Epoch 74: train_loss: 0.34690485703342155, train_acc: 0.7271400778210116, train_f1: 0.7519373237682988
Epoch 75: train_loss: 0.3444809886384103, train_acc: 0.7295719844357976, train_f1: 0.7587859023146996
Epoch 76: train_loss: 0.3463529446941405, train_acc: 0.7249513618677043, train_f1: 0.7518914551866889
Epoch 77: train_loss: 0.3532298523860219, train_acc: 0.7228842412451362, train_f1: 0.7505267796931053
Epoch 78: train_loss: 0.345213894598215, train_acc: 0.7310311284046692, train_f1: 0.7603532657195258
Epoch 79: train_loss: 0.3427618597036206, train_acc: 0.7312743190661478, train_f1: 0.7575211133673155
Epoch 80: train_loss: 0.3381405386363486, train_acc: 0.7373540856031129, train_f1: 0.7674356334698108
Epoch 81: train_loss: 0.3413883144985377, train_acc: 0.7285992217898832, train_f1: 0.7620780176577222
Epoch 82: train_loss: 0.3448121082110164, train_acc: 0.7307879377431906, train_f1: 0.7556012793389936
Epoch 83: train_loss: 0.3383812292656546, train_acc: 0.7334630350194552, train_f1: 0.7636801751969252
Epoch 84: train_loss: 0.33386508801567877, train_acc: 0.7355301556420234, train_f1: 0.768361648261037
Epoch 85: train_loss: 0.33356871580567343, train_acc: 0.7436770428015564, train_f1: 0.7732818038921491
Epoch 86: train_loss: 0.33074244103079176, train_acc: 0.7397859922178989, train_f1: 0.7707023789293962
Epoch 87: train_loss: 0.3369967717141029, train_acc: 0.7367461089494164, train_f1: 0.7707801500864085
Epoch 88: train_loss: 0.32807872244356207, train_acc: 0.7434338521400778, train_f1: 0.7772924173177858
Epoch 89: train_loss: 0.3293957292801675, train_acc: 0.7423394941634242, train_f1: 0.7774637673389503
Epoch 90: train_loss: 0.3357576200238462, train_acc: 0.7355301556420234, train_f1: 0.7656461886671688
Epoch 91: train_loss: 0.33716534779693363, train_acc: 0.7371108949416343, train_f1: 0.7675988765318467
Epoch 92: train_loss: 0.317495290610345, train_acc: 0.751215953307393, train_f1: 0.7872869287617245
Epoch 93: train_loss: 0.32125201647383694, train_acc: 0.7485408560311284, train_f1: 0.7860831367069337
Epoch 94: train_loss: 0.33060671307929296, train_acc: 0.7416099221789884, train_f1: 0.7777528307295615
Epoch 95: train_loss: 0.3247165483085562, train_acc: 0.7456225680933852, train_f1: 0.780190376474739
Epoch 96: train_loss: 0.32000608730640856, train_acc: 0.7518239299610895, train_f1: 0.7867853679016911
Epoch 97: train_loss: 0.3213376321681279, train_acc: 0.7489056420233463, train_f1: 0.7794099338290668
Epoch 98: train_loss: 0.31972844649381676, train_acc: 0.7518239299610895, train_f1: 0.7857625351225922
Epoch 99: train_loss: 0.31711733004926246, train_acc: 0.7547422178988327, train_f1: 0.7895105451352844
Epoch 100: train_loss: 0.3211821078790301, train_acc: 0.7549854085603113, train_f1: 0.7886835717995716
Epoch 101: train_loss: 0.31432138105078894, train_acc: 0.7568093385214008, train_f1: 0.795760869479785
Epoch 102: train_loss: 0.30712565611540577, train_acc: 0.7631322957198443, train_f1: 0.7989000596962406
Epoch 103: train_loss: 0.3108508756768379, train_acc: 0.7588764591439688, train_f1: 0.7956628014450017
Epoch 104: train_loss: 0.3183658684853914, train_acc: 0.7531614785992218, train_f1: 0.7817543356934341
Epoch 105: train_loss: 0.3087295359326708, train_acc: 0.7639834630350194, train_f1: 0.8006932672468937
Epoch 106: train_loss: 0.3136761961975914, train_acc: 0.7574173151750972, train_f1: 0.7944592237251343
Epoch 107: train_loss: 0.3145416837605985, train_acc: 0.7562013618677043, train_f1: 0.7920899252497691
Epoch 108: train_loss: 0.31032778424163737, train_acc: 0.7637402723735408, train_f1: 0.7970460406788504
Epoch 109: train_loss: 0.2990494208982946, train_acc: 0.7672665369649806, train_f1: 0.8048194912861963
Epoch 110: train_loss: 0.30115103385327857, train_acc: 0.7649562256809338, train_f1: 0.8054528941847133
Epoch 111: train_loss: 0.30441948156876325, train_acc: 0.761794747081712, train_f1: 0.8016886837550214
Epoch 112: train_loss: 0.305991691751007, train_acc: 0.763010700389105, train_f1: 0.8006541427536072
Epoch 113: train_loss: 0.2968102119254231, train_acc: 0.7677529182879378, train_f1: 0.8080609887330326
Epoch 114: train_loss: 0.3039542445876719, train_acc: 0.7639834630350194, train_f1: 0.8027197200388777
Epoch 115: train_loss: 0.3027729176651643, train_acc: 0.7664153696498055, train_f1: 0.8062087202359326
Epoch 116: train_loss: 0.2937410048531651, train_acc: 0.7732247081712063, train_f1: 0.8115976301104322
Epoch 117: train_loss: 0.29133327409683035, train_acc: 0.7737110894941635, train_f1: 0.8121983451027819
Epoch 118: train_loss: 0.2950657591629585, train_acc: 0.7749270428015564, train_f1: 0.8125378095813085
